                            freqRatio percentUnique zeroVar   nzv
RMCALLS                     29.231962         0.286   FALSE  TRUE
RMMOU                       43.437876         0.518   FALSE  TRUE
RMREV                       53.843358         2.842   FALSE  TRUE
TOTCALLS                     1.035714        19.484   FALSE FALSE
TOTMOU                       1.125000        36.746   FALSE FALSE
TOTREV                       1.333333        86.396   FALSE FALSE
ADJREV                       1.368421        85.562   FALSE FALSE
ADJMOU                       1.066667        36.322   FALSE FALSE
ADJQTY                       1.103448        19.390   FALSE FALSE
AVGREV                       1.122449        24.436   FALSE FALSE
AVGMOU                       1.230769        72.444   FALSE FALSE
AVGQTY                       1.041667        50.082   FALSE FALSE
AVG3MOU                      5.870130         5.448   FALSE FALSE
AVG3QTY                      3.765873         2.504   FALSE FALSE
AVG3REV                      1.297625         0.876   FALSE FALSE
AVG6MOU                      4.096953         5.198   FALSE FALSE
AVG6QTY                      4.046154         2.394   FALSE FALSE
AVG6REV                      1.048073         0.780   FALSE FALSE
RETDAYS                   1502.937500         1.218   FALSE  TRUE
EQPDAYS                      1.037500         2.892   FALSE FALSE
ACTIVESUBS                   2.875429         0.020   FALSE FALSE
SPENDING_LIMIT               6.196315         0.004   FALSE FALSE
NEW_CAR                      1.401883         0.004   FALSE FALSE
GOOD_CREDIT_SCORE            2.464043         0.004   FALSE FALSE
BAD_CREDIT_SCORE            23.449878         0.004   FALSE  TRUE
HAS_CREDIT_CARD              2.048595         0.004   FALSE FALSE
CREDIT_ADJUSTED             37.091468         0.032   FALSE  TRUE
LONG_DISTANCE_SERVICE        4.729346         0.004   FALSE FALSE
LOCAL_PHONE_SERVICE         34.688794         0.004   FALSE  TRUE
DB                           3.209463         0.004   FALSE FALSE
FOREIGN_TRAVEL              16.724211         0.004   FALSE FALSE
CURRENT_PHONE_PRICE          1.006993         0.034   FALSE FALSE
FULL_INFORMATION             1.059393         0.004   FALSE FALSE
ESTIMATED_INCOME             3.845980         0.018   FALSE FALSE
LAST_PHONE_SWAP              5.865021         0.006   FALSE FALSE
DO_NOT_MAIL               4999.000000         0.004   FALSE  TRUE
RESPOND_TO_MAIL              1.695127         0.004   FALSE FALSE
MODELS_ISSUED                2.513294         0.022   FALSE FALSE
OWNS_MOBILE_HOME           560.797753         0.004   FALSE  TRUE
REF_QTY_NUM                 22.649905         0.028   FALSE  TRUE
REFURBISHED                  5.943480         0.004   FALSE FALSE
OWNS_RV                     11.204052         0.004   FALSE FALSE
DO_NOT_SOLICIT              51.301255         0.004   FALSE  TRUE
RECEIVED_OFFER              25.082420         0.004   FALSE  TRUE
DECLINED_OFFER              49.813008         0.004   FALSE  TRUE
NUMBER_OF_OFFERS            55.631519         0.008   FALSE  TRUE
NUMBER_OF_RETENTION_CALLS   27.304373         0.012   FALSE  TRUE
NUMBER_OF_SUBS               2.243515         0.028   FALSE FALSE
churn                        1.017675         0.004   FALSE FALSE
